leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Aigars Kalvitis,A2.9-5677,Latvia,LAT,367,aigars,kalvitis,
Godmanis,A3.0-105,Latvia,LAT,367,ivars,godmanis,
Dombrovskis,A3.0-106,Latvia,LAT,367,valdis,dombrovskis,
Straujuma,cb-367-1,Latvia,LAT,367,laimdota,straujuma,
Kucinskis,cb-367-2,Latvia,LAT,367,maris,kucinskis,
Landsbergis,A2.9-5698,Lithuania,LIT,368,vytautas,landsbergis,
Brazauskas,A2.9-5701,Lithuania,LIT,368,algirdas,brazauskas,
Adamkus,A2.9-5704,Lithuania,LIT,368,valdas,adamkus,
Paksas,A2.9-5707,Lithuania,LIT,368,rolandas,paksas,
Paulauskas,A2.9-5710,Lithuania,LIT,368,arturas,paulauskas,
Adamkus,A2.9-5713,Lithuania,LIT,368,valdas,adamkus,
Grybauskaite,A3.0-107,Lithuania,LIT,368,dalia,grybauskaite,
Koivisto,A2.9-5806,Finland,FIN,375,mauno,koivisto,
Marthi Ahtisaari,A2.9-5809,Finland,FIN,375,martti,ahtisaari,
Lipponen,cb-375-1,Finland,FIN,375,paavo,lipponen,
Jaatteenmaki,cb-375-2,Finland,FIN,375,anneli,jaatteenmaki,
Vanhanen,cb-375-3,Finland,FIN,375,matti,vanhanen,
Kiviniemi,cb-375-4,Finland,FIN,375,mari,kiviniemi,
Katainen,cb-375-5,Finland,FIN,375,jyrki,katainen,
Stubb,cb-375-6,Finland,FIN,375,alex,stubb,alexander stubb
Sipila,cb-375-7,Finland,FIN,375,juha,sipila,
Bildt,A2.9-5932,Sweden,SWD,380,carl,bildt,
Carlsson,A2.9-5935,Sweden,SWD,380,ingvar,carlsson,
Persson,A2.9-5938,Sweden,SWD,380,goran,persson,
Reinfeldt,A3.0-113,Sweden,SWD,380,fredrik,reinfeldt,
Lofven,cb-380-1,Sweden,SWD,380,stefan,lofven,
Brundtland,A2.9-6046,Norway,NOR,385,gro harlem,brundtland,
Jagland,A2.9-6049,Norway,NOR,385,thorbjorn,jagland,
Bondevik,A2.9-6052,Norway,NOR,385,kjell,bondevik,kjell magne bondevik
Lahnstein,A2.9-6055,Norway,NOR,385,erik,lahnstein,
Bondevik,A2.9-6058,Norway,NOR,385,kjell,bondevik,kjell magne bondevik
Stoltenberg,A2.9-6061,Norway,NOR,385,jens,stoltenberg,
Bondevik,A2.9-6064,Norway,NOR,385,kjell,bondevik,kjell magne bondevik
Stoltenberg,A3.0-114,Norway,NOR,385,jens,stoltenberg,
Solberg,cb-385-1,Norway,NOR,385,erna,solverg,
Schluter,A2.9-6166,Denmark,DEN,390,poul,schluter,
Nyrup Rasmussen,A2.9-6169,Denmark,DEN,390,poul,rasmussen,poul nyrup rasmussen
Fogh Rasmussen,A2.9-6172,Denmark,DEN,390,anders,rasmussen,anders fogh rasmussen
Lokke Rasmussen,A3.0-115,Denmark,DEN,390,lars,rasmussen,lars lokke rasmussen
Thorning-Schmidt,A3.0-116,Denmark,DEN,390,helle,thorning-schmidt,
Rasmussen,cb-390-1,Denmark,DEN,390,lars,rasmussen,lars lokke rasmussen
Veiga,A2.9-6241,Cape Verde,CAP,402,carlos,veiga,
do Rosario,A2.9-6244,Cape Verde,CAP,402,gualberto,do rosario,
Neves,A2.9-6247,Cape Verde,CAP,402,jose,neves,jose maria neves
Correia e Silva,nm-402-1,Cape Verde,CAP,402,ulisses,correia e silva,
John Agyekum Kufuor,A2.9-6568,Ghana,GHA,452,john,kufuor,
Atta Mills,A3.0-137,Ghana,GHA,452,john,atta mills,
Mahama,cb-452-1,Ghana,GHA,452,john,mahama,
Akufo-Addo,se-452-2,Ghana,GHA,452,nana,akufo-addo,
Moi,A2.9-6739,Kenya,KEN,501,daniel arap,moi,
Mwai Kibaki,A2.9-6742,Kenya,KEN,501,mwai,kibaki,
Kenyatta,cb-501-1,Kenya,KEN,501,uhuru,kenyatta,
deKlerk,A2.9-6940,South Africa,SAF,560,f.w.,de klerk,
Mandela,A2.9-6943,South Africa,SAF,560,nelson,mandela,
Mbeki,A2.9-6946,South Africa,SAF,560,thabo,mbeki,
Motlanthe,A3.0-150,South Africa,SAF,560,kgalema,motlanthe,
Zuma,A3.0-151,South Africa,SAF,560,jacob,zuma,
Ramaphosa,clb-560--01,South Africa,SAF,560,cyril,ramaphosa,
Mosisili,A2.9-7024,Lesotho,LES,570,pakalitha,mosisili,
Thabane,cb-570-1,Lesotho,LES,570,thomas,thabane,tom thabane
Mosisili,cb-570-2,Lesotho,LES,570,pakalitha,mosisili,
Thabane,se-570-3,Lesotho,LES,570,thomas,thabane,tom thabane
Masire,A2.9-7030,Botswana,BOT,571,ketumile,masire,quett masire
Mogae,A2.9-7033,Botswana,BOT,571,festus,mogae,
Ian Khama,A3.0-153,Botswana,BOT,571,ian,khama,
Mokgweetsi Masisi,ks-571-01,Botswana,BOT,571,mokgweetsi,masisi,
Azali Assoumani,A2.9-7111,Comoros,COM,581,azali,assoumani,
Sambi,A3.0-155,Comoros,COM,581,ahmed,sambi,
Dhoinine,A3.0-156,Comoros,COM,581,ikililou,dhoinine,
Assoumani,jb-581-1,Comoros,COM,581,azali,assoumani,
Anerood Jugnauth,A2.9-7117,Mauritius,MAS,590,anerood,jugnauth,
Ramgoolam N.,A2.9-7120,Mauritius,MAS,590,navin,ramgoolam,
Anerood Jugnauth,A2.9-7123,Mauritius,MAS,590,anerood,jugnauth,
Paul Berenger,A2.9-7126,Mauritius,MAS,590,paul,berenger,
Ramgoolam N.,A3.0-157,Mauritius,MAS,590,navin,ramgoolam,
Anerood Jugnauth,cb-590-1,Mauritius,MAS,590,anerood,jugnauth,
Pravind Jugnauth,se-590-2,Mauritius,MAS,590,pravin,jugnauth,
Demirel,A2.9-7345,Turkey,TUR,640,suleyman,demirel,
Erdal Inonu,A2.9-7348,Turkey,TUR,640,erdal,inonu,
Ciller,A2.9-7351,Turkey,TUR,640,tansu,ciller,
Yilmaz,A2.9-7354,Turkey,TUR,640,mesut,yilmaz,
Erbakan,A2.9-7357,Turkey,TUR,640,necmettin,erbakan,
Yilmaz,A2.9-7360,Turkey,TUR,640,mesut,yilmaz,
Ecevit,A2.9-7363,Turkey,TUR,640,bulent,ecevit,
Abdullah Gul,A2.9-7366,Turkey,TUR,640,abdullah,gul,
Erdogan,A2.9-7369,Turkey,TUR,640,recep tayyip,erdogan,
Ochirbat,A2.9-7912,Mongolia,MON,712,punsalmaagiyn,ochirbat,
Bagabandi,A2.9-7915,Mongolia,MON,712,natsagiin,bagabandi,
Enkhbayar,A3.0-178,Mongolia,MON,712,namburiin,enkhbayar,
Elbegdorj,A3.0-179,Mongolia,MON,712,tsakhiagiin,elbegdorj,
Khaltmaagiin Battulga,se-712-1,Mongolia,MON,712,kjaltmaagiin,battulga,
Lee Tenghui,joshua-add-1,Taiwan,TAW,713,teng-hui,lee,lee teng-hui
Chen Shuibian,joshua-add-2,Taiwan,TAW,713,shui-bian,chen,chen shui-bian
Ma Yingjeou,joshua-add-3,Taiwan,TAW,713,ying-jeou,ma,ma ying-jeou
Tsai Ingwen,joshua-add-4,Taiwan,TAW,713,ing-wen,tsai,tsai ing-wen
Kim Young Sam,A2.9-7975,Korea South,ROK,732,young-sam,kim,kim young sam
Kim Dae Jung,A2.9-7978,Korea South,ROK,732,dae-jung,kim,kim dae jung
Roh Moo Hyun,A2.9-7981,Korea South,ROK,732,moo-hyun,roh,roh moo hyun
Lee Myung Bak,A3.0-182,Korea South,ROK,732,myung-bak,lee,lee myung bak
Park Geun Hye,cb-732-1,Korea South,ROK,732,geun-hye,park,park geun hye
Hwang Kyo Ahn,se-732-2,Korea South,ROK,732,kyo-ahn,hwang,hwang kyo ahn
Moon Jae-in,se-732-3,Korea South,ROK,732,jae-in,moon,moon jae in
Miyazawa,A2.9-8185,Japan,JPN,740,kiichi,miyazawa,
Hosokawa,A2.9-8188,Japan,JPN,740,morihito,hosokawa,
Hata,A2.9-8191,Japan,JPN,740,tsutomu,hata,
Murayama,A2.9-8194,Japan,JPN,740,tomiichi,murayama,
Hashimoto,A2.9-8197,Japan,JPN,740,ryutaro,hashimoto,
Obuchi,A2.9-8200,Japan,JPN,740,keizo,obuchi,
Yoshiro Mori,A2.9-8206,Japan,JPN,740,yoshiro,mori,
Junichiro Koizumi,A2.9-8209,Japan,JPN,740,junichiro,koizumi,
Shinzo Abe,A3.0-183,Japan,JPN,740,shinzo,abe,abe shinzo
Yasuo Fukuda,A3.0-184,Japan,JPN,740,yasuo,fukuda,
Taro Aso,A3.0-185,Japan,JPN,740,taro,aso,
Hatoyama Yukio,A3.0-186,Japan,JPN,740,yukio,hatoyama,
Naoto Kan,A3.0-187,Japan,JPN,740,naoto,kan,
Yoshihiko Noda,A3.0-188,Japan,JPN,740,yoshihiko,noda,
Shinzo Abe,cb-740-1,Japan,JPN,740,shinzo,abe,abe shinzo
Rao,A2.9-8245,India,IND,750,narasimha,rao,p.v. narasimha rao
Vajpayee,A2.9-8248,India,IND,750,atal bihari,vajpayee,
Gowda,A2.9-8251,India,IND,750,deve,gowda,
Gujral,A2.9-8254,India,IND,750,inder,gujral,
Vajpayee,A2.9-8257,India,IND,750,atal bihari,vajpayee,
Manmohan Singh,A2.9-8260,India,IND,750,manmohan,singh,
Narendra Modi,cb-750-1,India,IND,750,narendra,modi,
Sharif,A2.9-8338,Pakistan,PAK,770,nawaz,sharif,
Mazari,A2.9-8341,Pakistan,PAK,770,balakh sher,mazari,
Sharif,A2.9-8344,Pakistan,PAK,770,nawaz,sharif,
Qureshi,A2.9-8347,Pakistan,PAK,770,moeen,qureshi,
Bhutto Benazir,A2.9-8350,Pakistan,PAK,770,benazir,bhutto,
Khalid,A2.9-8353,Pakistan,PAK,770,mera,khalid,
Sharif,A2.9-8356,Pakistan,PAK,770,nawaz,sharif,
Zardari,A3.0-194,Pakistan,PAK,770,,,
Sharif,cb-770-1,Pakistan,PAK,770,nawaz,sharif,
Abbasi,cb-770-2,Pakistan,PAK,770,shalid khaqan,abbasi,
Mulk,ctb-770-3,Pakistan,PAK,770,nasiurl,mulk,
Imran Khan,ctb-770-4,Pakistan,PAK,770,imran,khan,
Panyarachun,A2.9-8626,Thailand,THI,800,panyarachun,anand,anand panyarachun
Kraprayoon,A2.9-8629,Thailand,THI,800,kraprayoon,suchinda,suchinda kraprayoon
Panyarachun,A2.9-8632,Thailand,THI,800,panyarachun,anand,anand panyarachun
Leekpai,A2.9-8635,Thailand,THI,800,leekpai,chuan,chuan leekpai
Silpa-Archa,A2.9-8638,Thailand,THI,800,silpa-archa,banharn,banharn silpa-archa
Chavalit Yongchaiyudh,A2.9-8641,Thailand,THI,800,yongchaiyudh,chavalit,chavalit yongchaiyudh
Leekpai,A2.9-8644,Thailand,THI,800,leekpai,chuan,chaun leekpai
Thaksin Shinawatra,A2.9-8647,Thailand,THI,800,shinawatra,thaksin,thaksin shinawatra
Vejjajiva,A3.0-210,Thailand,THI,800,vejjajiva,abhisit,abhisit vejjajiva
Yingluck,A3.0-211,Thailand,THI,800,shinawatra,yingluck,yingluck shinawatra
Aquino,A2.9-8839,Philippines,PHI,840,corazon,aquino,
Ramos,A2.9-8842,Philippines,PHI,840,fidel,ramos,
Estrada,A2.9-8845,Philippines,PHI,840,joseph,estrada,
Gloria Macapagal-Arroyo,A2.9-8848,Philippines,PHI,840,gloria,arroyo,
Benigno Aquino III,A3.0-215,Philippines,PHI,840,benigno,aquino,
Rodrigo Duterte,jb-840-1,Philippines,PHI,840,rodrigo,duterte,
Megawati Sukarnoputri,A2.9-8872,Indonesia,INS,850,sukarnoputri,megawati,
Bambang Yudhoyono,A2.9-8875,Indonesia,INS,850,susilo bambang,yudhoyono,
Joko Widodo,cb-850-1,Indonesia,INS,850,joko,widodo,jokowi
Keating,A2.9-8965,Australia,AUL,900,paul,keating,
Howard,A2.9-8968,Australia,AUL,900,john,howard,
Rudd,A3.0-217,Australia,AUL,900,kevin,rudd,
Gillard,A3.0-218,Australia,AUL,900,julia,gillard,
Rudd,cb-900-1,Australia,AUL,900,kevin,rudd,
Abbott,cb-900-2,Australia,AUL,900,tony,abott,
Turnbull,cb-900-3,Australia,AUL,900,malcolm,turnbull,
Morrison,ctb-900-1,Australia,AUL,900,scott,morrisson,
Bolger,A2.9-9061,New Zealand,NEW,920,jimmy,bolger,
Shipley,A2.9-9064,New Zealand,NEW,920,jenny,shipley,
Clark,A2.9-9067,New Zealand,NEW,920,helen,clark,
John Key,A3.0-220,New Zealand,NEW,920,john,key,
Bill English,se-920-1,New Zealand,NEW,920,bill,english,
Jacinda Ardern,se-920-2,New Zealand,NEW,920,jacinda,ardern,
Mamaloni,A2.9-9082,Solomon Islands,SOL,940,solomon,mamaloni,
Hilly,A2.9-9085,Solomon Islands,SOL,940,francis,hilly,billy hilly
Mamaloni,A2.9-9088,Solomon Islands,SOL,940,solomon,mamaloni,
Ulufa'alu,A2.9-9091,Solomon Islands,SOL,940,bartholomew,ulufa'alu,
Kemakeza,A2.9-9097,Solomon Islands,SOL,940,allen,kemakeza,
Rini,A3.0-221,Solomon Islands,SOL,940,snyder,rini,
Sogavare,A3.0-222,Solomon Islands,SOL,940,manasseh,sogavare,
Sikua,A3.0-223,Solomon Islands,SOL,940,derek,sikua,
Danny Philip,A3.0-224,Solomon Islands,SOL,940,danny,philip,
Darcy Lilo,A3.0-225,Solomon Islands,SOL,940,gordon,lilo,gordon darcy lilo
Sogavare,cb-940-1,Solomon Islands,SOL,940,manasseh,sogavare,
Rick Houenipwela,se-940-2,Solomon Islands,SOL,940,rick,houenipwela,
