leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Lula da Silva,A2.9-2056,Brazil,BRA,140,luiz inacio,lula da silva,lula
Rousseff,A3.0-32,Brazil,BRA,140,dilma,rousseff,
Temer,cb-140-1,Brazil,BRA,140,michel,temer,
Paz Zamora,A2.9-2206,Bolivia,BOL,145,jamie,paz,jamie paz zamora
Gonzalo Sanchez de Lozada,A2.9-2209,Bolivia,BOL,145,gonzalo,sanchez,gonzalo sanchez de lozada
Banzer Suarez,A2.9-2212,Bolivia,BOL,145,hugo,banzer,
Jorge Quiroga Ramirez,A2.9-2215,Bolivia,BOL,145,jorge,quiroga,
Gonzalo Sanchez de Lozada,A2.9-2218,Bolivia,BOL,145,gonzalo,sanchez,gonzalo sanchez de lozada
Carlos Mesa,A2.9-2221,Bolivia,BOL,145,carlos,mesa,
Eduardo Rodriguez,A3.0-33,Bolivia,BOL,145,eduardo,rodriguez,
Evo Morales,A3.0-34,Bolivia,BOL,145,evo,morales,
Rodriguez Pedotti,A2.9-2356,Paraguay,PAR,150,andres,rodriguez,
Wasmosy Monti,A2.9-2359,Paraguay,PAR,150,juan carlos,wasmosy,
Cubas Grau,A2.9-2362,Paraguay,PAR,150,raul,cubas,
Gonzalez Macchi,A2.9-2365,Paraguay,PAR,150,luis,gonzalez,luis gonzales macchi
Nicanor Duarte Frutos,A2.9-2368,Paraguay,PAR,150,nicanor,duarte,nicanor duarte frutos
Fernando Lugo,A3.0-35,Paraguay,PAR,150,fernando,lugo,
Federico Franco,cb-150-1,Paraguay,PAR,150,federico,franco,
Horacio Cartes,cb-150-2,Paraguay,PAR,150,horacio,cartes,
Benitez,ctb-150-1,Paraguay,PAR,150,mario,abdo benitez,
Aylwin,A2.9-2500,Chile,CHL,155,patricio,aylwin,
Frei Ruiz-Tagle,A2.9-2503,Chile,CHL,155,eduardo,frei,
Ricardo Lagos Escobar,A2.9-2506,Chile,CHL,155,ricardo,lagos,
Michelle Bachelet,A3.0-36,Chile,CHL,155,michelle ,bachelet,
Sebastian Pinera,cb-155-1,Chile,CHL,155,sebastian,pinera,
Michelle Bachelet,cb-155-2,Chile,CHL,155,michelle,bachelet,
Sebastian Pinera,cb-155-3,Chile,CHL,155,sebastian ,pinera,
Menem,A2.9-2635,Argentina,ARG,160,carlos,menem,
de la Rua,A2.9-2638,Argentina,ARG,160,fernando,de la rua,
Adolfo Rodriguez Saa,A2.9-2644,Argentina,ARG,160,adolfo,rodriguez saa,
Eduardo Duhalde,A2.9-2647,Argentina,ARG,160,eduardo,duhalde,
Nestor Kirchner,A2.9-2650,Argentina,ARG,160,nestor,kirchner,
Fernandez de Kirchner,A3.0-37,Argentina,ARG,160,cristina,fernandez,cristina fernandez de kirchner
Macri,cb.0-38,Argentina,ARG,160,mauricio,macri,
Lacalle de Herrera,A2.9-2788,Uruguay,URU,165,luis alberto,lacalle,
Sanguinetti,A2.9-2791,Uruguay,URU,165,julio,sanguinetti,julio maria sanguinetti
Jorge Batlle,A2.9-2794,Uruguay,URU,165,jorge,batlle,
Tabare Vazquez,A3.0-38,Uruguay,URU,165,tabare,vazquez,
Jose Mujica,A3.0-39,Uruguay,URU,165,jose,mujica,
Tabare Vazquez,cb-165-1,Uruguay,URU,165,tabare,vazauez,
Major,A2.9-2887,United Kingdom,UKG,200,john,major,
Blair,A2.9-2890,United Kingdom,UKG,200,tony,blair,
Brown,A3.0-40,United Kingdom,UKG,200,gordon,brown,
Cameron,A3.0-41,United Kingdom,UKG,200,david,cameron,
May,cb-200-01,United Kingdom,UKG,200,theresa,may,
Haughey,A2.9-2944,Ireland,IRE,205,charles,haughey,
