"leader","leadid","country","scode","ccode"
"Persad-Bissessar","A3.0-11","Trinidad and Tobago","TRI",52
"Rowley","cb-52-1","Trinidad and Tobago","TRI",52
"Demirel","A2.9-7345","Turkey","TUR",640
"Erdal Inonu","A2.9-7348","Turkey","TUR",640
"Ciller","A2.9-7351","Turkey","TUR",640
"Yilmaz","A2.9-7354","Turkey","TUR",640
"Erbakan","A2.9-7357","Turkey","TUR",640
"Yilmaz","A2.9-7360","Turkey","TUR",640
"Ecevit","A2.9-7363","Turkey","TUR",640
"Abdullah Gul","A2.9-7366","Turkey","TUR",640
"Erdogan","A2.9-7369","Turkey","TUR",640
"Major","A2.9-2887","United Kingdom","UKG",200
"Blair","A2.9-2890","United Kingdom","UKG",200
"Brown","A3.0-40","United Kingdom","UKG",200
"Cameron","A3.0-41","United Kingdom","UKG",200
"May","cb-200-01","United Kingdom","UKG",200
"Lacalle de Herrera","A2.9-2788","Uruguay","URU",165
"Sanguinetti","A2.9-2791","Uruguay","URU",165
"Jorge Batlle","A2.9-2794","Uruguay","URU",165
"Tabare Vazquez","A3.0-38","Uruguay","URU",165
"Jose Mujica","A3.0-39","Uruguay","URU",165
"Tabare Vazquez","cb-165-1","Uruguay","URU",165
"Bush","A2.9-70","United States","USA",2
"Clinton","A2.9-73","United States","USA",2
"G.W. Bush","A2.9-76","United States","USA",2
"Obama","A3.0-1","United States","USA",2
"Trump","cb-002-01","United States","USA",2
"Andres Perez","A2.9-1555","Venezuela","VEN",101
"Lepage Barreto","A2.9-1555-1","Venezuela","VEN",101
"Velasquez","A2.9-1558","Venezuela","VEN",101
"Caldera Rodriguez","A2.9-1561","Venezuela","VEN",101
"Hugo Chavez","A2.9-1564","Venezuela","VEN",101
