"leader","leadid","country","scode","ccode"
"Paroubek","A3.0-69","Czech Republic","CZR",316
"Topolanek","A3.0-70","Czech Republic","CZR",316
"Fischer","A3.0-71","Czech Republic","CZR",316
"Necas","A3.0-72","Czech Republic","CZR",316
"Rusnok","cb-316-1","Czech Republic","CZR",316
"Sobotka","cb-316-2","Czech Republic","CZR",316
"Andrej Babis","se-316-3","Czech Republic","CZR",316
"Schluter","A2.9-6166","Denmark","DEN",390
"Nyrup Rasmussen","A2.9-6169","Denmark","DEN",390
"Fogh Rasmussen","A2.9-6172","Denmark","DEN",390
"Lokke Rasmussen","A3.0-115","Denmark","DEN",390
"Thorning-Schmidt","A3.0-116","Denmark","DEN",390
"Rasmussen","cb-390-1","Denmark","DEN",390
"Balaguer","A2.9-478","Dominican Republic","DOM",42
"Fernandez Reyna","A2.9-481","Dominican Republic","DOM",42
"Hipolito Mejia","A2.9-484","Dominican Republic","DOM",42
"Fernandez Reyna","A2.9-487","Dominican Republic","DOM",42
"Danilo Medina","cb-42-1","Dominican Republic","DOM",42
"Borja Cevallos","A2.9-1786","Ecuador","ECU",130
"Duran Ballen","A2.9-1789","Ecuador","ECU",130
"Bucaram Ortiz","A2.9-1792","Ecuador","ECU",130
"Alarcon Fabian","A2.9-1795","Ecuador","ECU",130
"Mahuad","A2.9-1804","Ecuador","ECU",130
"Alfredo Palacio","A3.0-28","Ecuador","ECU",130
"Siimann","A2.9-5581","Estonia","EST",366
"Laar","A2.9-5584","Estonia","EST",366
"Kallas","A2.9-5587","Estonia","EST",366
"Parts","A2.9-5590","Estonia","EST",366
"Ansip","A3.0-104","Estonia","EST",366
"Roivas","cb-366-1","Estonia","EST",366
"Ratas","cb-366-2","Estonia","EST",366
"Koivisto","A2.9-5806","Finland","FIN",375
"Marthi Ahtisaari","A2.9-5809","Finland","FIN",375
"Lipponen","cb-375-1","Finland","FIN",375
"Jaatteenmaki","cb-375-2","Finland","FIN",375
"Vanhanen","cb-375-3","Finland","FIN",375
"Kiviniemi","cb-375-4","Finland","FIN",375
"Katainen","cb-375-5","Finland","FIN",375
"Stubb","cb-375-6","Finland","FIN",375
"Sipila","cb-375-7","Finland","FIN",375
"Mitterand","A2.9-3613","France","FRN",220
"Chirac","A2.9-3616","France","FRN",220
"Sarkozy","A3.0-49","France","FRN",220
"Hollande","cb-220-1","France","FRN",220
"Macron","se-220-2","France","FRN",220
"John Agyekum Kufuor","A2.9-6568","Ghana","GHA",452
"Atta Mills","A3.0-137","Ghana","GHA",452
"Mahama","cb-452-1","Ghana","GHA",452
"Akufo-Addo","se-452-2","Ghana","GHA",452
"Kohl","A2.9-4375","Germany","GMY",255
"Schroder","A2.9-4378","Germany","GMY",255
"Merkel","A3.0-59","Germany","GMY",255
"Mitsotakis","A2.9-5305","Greece","GRC",350
"A. Papandreou","A2.9-5308","Greece","GRC",350
"Tsokhatzopulos","A2.9-5311","Greece","GRC",350
"Simitis","A2.9-5314","Greece","GRC",350
"Kostas Karamanlis","A2.9-5317","Greece","GRC",350
"Georgios Papandreou","A3.0-94","Greece","GRC",350
"Loukas Papadimos","A3.0-95","Greece","GRC",350
"Pikrammenos","cb-350-1","Greece","GRC",350
"Samaras","cb-350-2","Greece","GRC",350
"Tsipras","cb-350-3","Greece","GRC",350
"Thanou","cb-350-4","Greece","GRC",350
"Tsipras","cb-350-5","Greece","GRC",350
"Leon Carpio","A2.9-730","Guatemala","GUA",90
"Arzu Yrigoyen","A2.9-733","Guatemala","GUA",90
"Alfonso Portillo Cabrera","A2.9-736","Guatemala","GUA",90
"Berger Perdomo","A2.9-739","Guatemala","GUA",90
"Colom","A3.0-16","Guatemala","GUA",90
"Molina","cb-90-1","Guatemala","GUA",90
"Maldanado","cb-90-2","Guatemala","GUA",90
"Morales","cb-90-3","Guatemala","GUA",90
"Antall","A2.9-4552","Hungary","HUN",310
"Boross","A2.9-4555","Hungary","HUN",310
"Horn","A2.9-4558","Hungary","HUN",310
"Orban","A2.9-4561","Hungary","HUN",310
"Peter Medgyessy","A2.9-4564","Hungary","HUN",310
"Ferenc Gyurcsany","A2.9-4567","Hungary","HUN",310
"Bajnai","A3.0-67","Hungary","HUN",310
"Orban","A3.0-68","Hungary","HUN",310
"Rao","A2.9-8245","India","IND",750
"Vajpayee","A2.9-8248","India","IND",750
"Gowda","A2.9-8251","India","IND",750
"Gujral","A2.9-8254","India","IND",750
"Vajpayee","A2.9-8257","India","IND",750
"Manmohan Singh","A2.9-8260","India","IND",750
"Narendra Modi","cb-750-1","India","IND",750
"Megawati Sukarnoputri","A2.9-8872","Indonesia","INS",850
"Bambang Yudhoyono","A2.9-8875","Indonesia","INS",850
"Joko Widodo","cb-850-1","Indonesia","INS",850
"Haughey","A2.9-2944","Ireland","IRE",205
"Reynolds","A2.9-2947","Ireland","IRE",205
"Bruton","A2.9-2950","Ireland","IRE",205
"Ahern","A2.9-2953","Ireland","IRE",205
"B. Cowen","A3.0-42","Ireland","IRE",205
"E. Kenny","A3.0-43","Ireland","IRE",205
"Varadkar","se-205-1","Ireland","IRE",205
"Andreotti","A2.9-4813","Italy","ITA",325
"Amato","A2.9-4816","Italy","ITA",325
"Ciampi","A2.9-4819","Italy","ITA",325
"Berlusconi","A2.9-4822","Italy","ITA",325
"Dini","A2.9-4825","Italy","ITA",325
"Prodi","A2.9-4828","Italy","ITA",325
"D'Alema","A2.9-4831","Italy","ITA",325
"Amato","A2.9-4834","Italy","ITA",325
"Berlusconi","A2.9-4837","Italy","ITA",325
"Prodi","A3.0-75","Italy","ITA",325
"Berlusconi","A3.0-76","Italy","ITA",325
"Monti","A3.0-77","Italy","ITA",325
"Letta","cb-325-1","Italy","ITA",325
"Renzi","cb-325-2","Italy","ITA",325
"Gentiloni","se-325-1","Italy","ITA",325
"Conte","ctb-325-1","Italy","ITA",325
"Manley","A2.9-505","Jamaica","JAM",51
"Patterson","A2.9-508","Jamaica","JAM",51
"Simpson Miller","A3.0-8","Jamaica","JAM",51
"Golding","A3.0-9","Jamaica","JAM",51
"Holness","A3.0-10","Jamaica","JAM",51
"Simpson Miller","cb-51-1","Jamaica","JAM",51
"Holness","kb-51-2","Jamaica","JAM",51
"Miyazawa","A2.9-8185","Japan","JPN",740
"Hosokawa","A2.9-8188","Japan","JPN",740
"Hata","A2.9-8191","Japan","JPN",740
"Murayama","A2.9-8194","Japan","JPN",740
"Hashimoto","A2.9-8197","Japan","JPN",740
"Obuchi","A2.9-8200","Japan","JPN",740
"Yoshiro Mori","A2.9-8206","Japan","JPN",740
"Junichiro Koizumi","A2.9-8209","Japan","JPN",740
"Shinzo Abe","A3.0-183","Japan","JPN",740
"Yasuo Fukuda","A3.0-184","Japan","JPN",740
"Taro Aso","A3.0-185","Japan","JPN",740
"Hatoyama Yukio","A3.0-186","Japan","JPN",740
"Naoto Kan","A3.0-187","Japan","JPN",740
"Yoshihiko Noda","A3.0-188","Japan","JPN",740
"Shinzo Abe","cb-740-1","Japan","JPN",740
"Moi","A2.9-6739","Kenya","KEN",501
"Mwai Kibaki","A2.9-6742","Kenya","KEN",501
"Kenyatta","cb-501-1","Kenya","KEN",501
"Sturanovic","cb-mng-2","Kosovo","KOS",341
"Dukanovic","cb-mng-3","Kosovo","KOS",341
"Luksic","cb-mng-4","Kosovo","KOS",341
"Dukanovic","cb-mng-5","Kosovo","KOS",341
"Dusko Markovic","cb-mng-6","Kosovo","KOS",341
"Godmanis","A2.9-5647","Latvia","LAT",367
"Birkavs","A2.9-5650","Latvia","LAT",367
"Gailis","A2.9-5653","Latvia","LAT",367
"Skele","A2.9-5656","Latvia","LAT",367
"Krasts","A2.9-5659","Latvia","LAT",367
"Kristopans","A2.9-5662","Latvia","LAT",367
"Skele","A2.9-5665","Latvia","LAT",367
"Berzins","A2.9-5668","Latvia","LAT",367
"Repse","A2.9-5671","Latvia","LAT",367
"Indulis Emsis","A2.9-5674","Latvia","LAT",367
"Aigars Kalvitis","A2.9-5677","Latvia","LAT",367
"Godmanis","A3.0-105","Latvia","LAT",367
"Dombrovskis","A3.0-106","Latvia","LAT",367
"Straujuma","cb-367-1","Latvia","LAT",367
"Kucinskis","cb-367-2","Latvia","LAT",367
"Mosisili","A2.9-7024","Lesotho","LES",570
"Thabane","cb-570-1","Lesotho","LES",570
"Mosisili","cb-570-2","Lesotho","LES",570
"Thabane","se-570-3","Lesotho","LES",570
"Landsbergis","A2.9-5698","Lithuania","LIT",368
"Brazauskas","A2.9-5701","Lithuania","LIT",368
"Adamkus","A2.9-5704","Lithuania","LIT",368
"Paksas","A2.9-5707","Lithuania","LIT",368
"Paulauskas","A2.9-5710","Lithuania","LIT",368
"Adamkus","A2.9-5713","Lithuania","LIT",368
"Grybauskaite","A3.0-107","Lithuania","LIT",368
"Santer","A2.9-3262","Luxembourg","LUX",212
"Juncker","A2.9-3265","Luxembourg","LUX",212
"Bettel","cb-212-1","Luxembourg","LUX",212
"Georgievski","A2.9-4957","Macedonia","MAC",343
"Crvenkovski","A2.9-4960","Macedonia","MAC",343
"Radmila Sekerinska","A2.9-4963","Macedonia","MAC",343
"Hari Kostov","A2.9-4966","Macedonia","MAC",343
"Radmila Sekerinska","A2.9-4969","Macedonia","MAC",343
"Vlado Buckovski","A2.9-4972","Macedonia","MAC",343
"Gruevski","A3.0-80","Macedonia","MAC",343
"Dimitriev","cb-343-1","Macedonia","MAC",343
"Zaev","se-343-1","Macedonia","MAC",343
"Anerood Jugnauth","A2.9-7117","Mauritius","MAS",590
"Ramgoolam N.","A2.9-7120","Mauritius","MAS",590
"Anerood Jugnauth","A2.9-7123","Mauritius","MAS",590
"Paul Berenger","A2.9-7126","Mauritius","MAS",590
"Ramgoolam N.","A3.0-157","Mauritius","MAS",590
"Anerood Jugnauth","cb-590-1","Mauritius","MAS",590
"Pravind Jugnauth","se-590-2","Mauritius","MAS",590
"Zedillo","A2.9-613","Mexico","MEX",70
"Vicente Fox Quesada","A2.9-616","Mexico","MEX",70
"Calderon","A3.0-14","Mexico","MEX",70
"Enrique Pena Nieto","cb-70-1","Mexico","MEX",70
"Lopez Obrador","ctb-70-2","Mexico","MEX",70
"Snegur","A2.9-5398","Moldova","MLD",359
"Lucinschi","A2.9-5401","Moldova","MLD",359
"Tarlev","A2.9-5404","Moldova","MLD",359
"Greceanii","A3.0-99","Moldova","MLD",359
"Pirlog","A3.0-100","Moldova","MLD",359
"Vlad Filat","A3.0-101","Moldova","MLD",359
"Iurie Leanca","cb-359-1","Moldova","MLD",359
"Chiril Gaburici","cb-359-2","Moldova","MLD",359
"Natalia Gherman","cb-359-3","Moldova","MLD",359
"Valeriu Strelet","cb-359-4","Moldova","MLD",359
"Gheorghe Brega","cb-359-5","Moldova","MLD",359
"Pavel Filip","cb-359-6","Moldova","MLD",359
NA,NA,"Montenegro","MNT",348
"Ochirbat","A2.9-7912","Mongolia","MON",712
"Bagabandi","A2.9-7915","Mongolia","MON",712
"Enkhbayar","A3.0-178","Mongolia","MON",712
"Elbegdorj","A3.0-179","Mongolia","MON",712
"Khaltmaagiin Battulga","se-712-1","Mongolia","MON",712
"Bolger","A2.9-9061","New Zealand","NEW",920
"Shipley","A2.9-9064","New Zealand","NEW",920
"Clark","A2.9-9067","New Zealand","NEW",920
"John Key","A3.0-220","New Zealand","NEW",920
"Bill English","se-920-1","New Zealand","NEW",920
"Jacinda Ardern","se-920-2","New Zealand","NEW",920
"Violeta Chamorro","A2.9-1066","Nicaragua","NIC",93
"Aleman","A2.9-1069","Nicaragua","NIC",93
"Enrique Bolanos","A2.9-1072","Nicaragua","NIC",93
"Daniel Ortega","A3.0-21","Nicaragua","NIC",93
"Brundtland","A2.9-6046","Norway","NOR",385
"Jagland","A2.9-6049","Norway","NOR",385
"Bondevik","A2.9-6052","Norway","NOR",385
"Lahnstein","A2.9-6055","Norway","NOR",385
"Bondevik","A2.9-6058","Norway","NOR",385
"Stoltenberg","A2.9-6061","Norway","NOR",385
"Bondevik","A2.9-6064","Norway","NOR",385
"Stoltenberg","A3.0-114","Norway","NOR",385
"Solberg","cb-385-1","Norway","NOR",385
"Lubbers","A2.9-3046","Netherlands","NTH",210
"Kok","A2.9-3049","Netherlands","NTH",210
"Jan Peter Balkenende","A2.9-3052","Netherlands","NTH",210
"M. Rutte","A3.0-44","Netherlands","NTH",210
"Sharif","A2.9-8338","Pakistan","PAK",770
"Mazari","A2.9-8341","Pakistan","PAK",770
"Sharif","A2.9-8344","Pakistan","PAK",770
"Qureshi","A2.9-8347","Pakistan","PAK",770
"Bhutto Benazir","A2.9-8350","Pakistan","PAK",770
"Khalid","A2.9-8353","Pakistan","PAK",770
"Sharif","A2.9-8356","Pakistan","PAK",770
"Zardari","A3.0-194","Pakistan","PAK",770
"Sharif","cb-770-1","Pakistan","PAK",770
"Abbasi","cb-770-2","Pakistan","PAK",770
"Mulk","ctb-770-3","Pakistan","PAK",770
"Imran Khan","ctb-770-4","Pakistan","PAK",770
"Endara","A2.9-1309","Panama","PAN",95
"Balladares","A2.9-1312","Panama","PAN",95
"Mireya Moscoso","A2.9-1315","Panama","PAN",95
"Martin Torrijos","A2.9-1318","Panama","PAN",95
"Martinelli","A3.0-24","Panama","PAN",95
"Juan Carlos Varela","cb-95-1","Panama","PAN",95
"Rodriguez Pedotti","A2.9-2356","Paraguay","PAR",150
"Wasmosy Monti","A2.9-2359","Paraguay","PAR",150
"Cubas Grau","A2.9-2362","Paraguay","PAR",150
"Gonzalez Macchi","A2.9-2365","Paraguay","PAR",150
"Nicanor Duarte Frutos","A2.9-2368","Paraguay","PAR",150
"Fernando Lugo","A3.0-35","Paraguay","PAR",150
"Federico Franco","cb-150-1","Paraguay","PAR",150
"Horacio Cartes","cb-150-2","Paraguay","PAR",150
"Benitez","ctb-150-1","Paraguay","PAR",150
"Valentin Paniagua","A2.9-1942","Peru","PER",135
"Alejandro Toledo","A2.9-1945","Peru","PER",135
"Garcia Perez","A3.0-30","Peru","PER",135
"Ollanta Humala","A3.0-31","Peru","PER",135
"Pedro Pablo Kuczynski","cb-135-01","Peru","PER",135
"Martin Vizcarra Cornejo","ctb-135-01","Peru","PER",135
"Aquino","A2.9-8839","Philippines","PHI",840
"Ramos","A2.9-8842","Philippines","PHI",840
"Estrada","A2.9-8845","Philippines","PHI",840
"Gloria Macapagal-Arroyo","A2.9-8848","Philippines","PHI",840
"Benigno Aquino III","A3.0-215","Philippines","PHI",840
"Rodrigo Duterte","jb-840-1","Philippines","PHI",840
"Walesa","A2.9-4432","Poland","POL",290
"Kwasniewski","A2.9-4435","Poland","POL",290
"Kaczynski","A3.0-60","Poland","POL",290
"Komorowski","A3.0-61","Poland","POL",290
"Schetyna","A3.0-63","Poland","POL",290
"Komorowski","A3.0-64","Poland","POL",290
"Duda","cb-290-1","Poland","POL",290
"Soares","A2.9-4291","Portugal","POR",235
"Sampaio","A2.9-4294","Portugal","POR",235
"Cavaco Silva","A3.0-58","Portugal","POR",235
"de Sousa","kb-235-1","Portugal","POR",235
"Kim Young Sam","A2.9-7975","Korea South","ROK",732
"Kim Dae Jung","A2.9-7978","Korea South","ROK",732
"Roh Moo Hyun","A2.9-7981","Korea South","ROK",732
"Lee Myung Bak","A3.0-182","Korea South","ROK",732
"Park Geun Hye","cb-732-1","Korea South","ROK",732
"Hwang Kyo Ahn","se-732-2","Korea South","ROK",732
"Moon Jae-in","se-732-3","Korea South","ROK",732
"Vacariou","A2.9-5437","Romania","RUM",360
"Ciorbea","A2.9-5440","Romania","RUM",360
"Dejeu","A2.9-5443","Romania","RUM",360
"Vasile","A2.9-5446","Romania","RUM",360
"Athanasiu","A2.9-5449","Romania","RUM",360
"Isarescu","A2.9-5452","Romania","RUM",360
"A. Nastase","A2.9-5455","Romania","RUM",360
"Eugen Bejinariu","A2.9-5458","Romania","RUM",360
"Traian Basescu","A2.9-5461","Romania","RUM",360
"Vacariou","cb-360-001","Romania","RUM",360
"Traian Basescu","cb-360-002","Romania","RUM",360
"Antonescu","A3.0-102","Romania","RUM",360
"Traian Basescu","cb-360-1","Romania","RUM",360
"Iohannis","cb-360-2","Romania","RUM",360
"deKlerk","A2.9-6940","South Africa","SAF",560
"Mandela","A2.9-6943","South Africa","SAF",560
"Mbeki","A2.9-6946","South Africa","SAF",560
"Motlanthe","A3.0-150","South Africa","SAF",560
"Zuma","A3.0-151","South Africa","SAF",560
"Ramaphosa","clb-560--01","South Africa","SAF",560
"Cristiani","A2.9-970","El Salvador","SAL",92
"Calderon Sol","A2.9-973","El Salvador","SAL",92
"Flores","A2.9-976","El Salvador","SAL",92
"Saca Gonzšlez","A2.9-979","El Salvador","SAL",92
"Funes","A3.0-20","El Salvador","SAL",92
"Salvador Sanchez Ceren","cb-92-1","El Salvador","SAL",92
NA,NA,"Serbia","SER",342
"Meciar","A2.9-4624","Slovak Republic","SLO",317
"Moravcik","A2.9-4627","Slovak Republic","SLO",317
"Meciar","A2.9-4630","Slovak Republic","SLO",317
"Dzurinda","A2.9-4633","Slovak Republic","SLO",317
"Fico","A3.0-73","Slovak Republic","SLO",317
"Radicova","A3.0-74","Slovak Republic","SLO",317
"Fico","cb-317-1","Slovak Republic","SLO",317
"Pellegrini","ctb-317-1","Slovak Republic","SLO",317
"Peterle","A2.9-5074","Slovenia","SLV",349
"Drnovsek","A2.9-5077","Slovenia","SLV",349
"Bajuk","A2.9-5080","Slovenia","SLV",349
"Drnovsek","A2.9-5083","Slovenia","SLV",349
"Anton Rop","A2.9-5086","Slovenia","SLV",349
"Janez Jansa","A2.9-5089","Slovenia","SLV",349
"Borut Pahor","A3.0-93","Slovenia","SLV",349
"Janez Jansa","cb-349-1","Slovenia","SLV",349
"Alenka Bratusek","cb-349-2","Slovenia","SLV",349
"Miro Cerar","cb-349-3","Slovenia","SLV",349
"Sarec","ctb-349-4","Slovenia","SLV",349
"Mamaloni","A2.9-9082","Solomon Islands","SOL",940
"Hilly","A2.9-9085","Solomon Islands","SOL",940
"Mamaloni","A2.9-9088","Solomon Islands","SOL",940
"Ulufa'alu","A2.9-9091","Solomon Islands","SOL",940
"Kemakeza","A2.9-9097","Solomon Islands","SOL",940
"Rini","A3.0-221","Solomon Islands","SOL",940
"Sogavare","A3.0-222","Solomon Islands","SOL",940
"Sikua","A3.0-223","Solomon Islands","SOL",940
"Danny Philip","A3.0-224","Solomon Islands","SOL",940
"Darcy Lilo","A3.0-225","Solomon Islands","SOL",940
"Sogavare","cb-940-1","Solomon Islands","SOL",940
"Rick Houenipwela","se-940-2","Solomon Islands","SOL",940
"Gonzalez Marquez","A2.9-4228","Spain","SPN",230
"Aznar","A2.9-4231","Spain","SPN",230
"Rodriguez Zapatero","A2.9-4234","Spain","SPN",230
"Rajoy Brey","A3.0-57","Spain","SPN",230
"Sanchez","ctb-230-1","Spain","SPN",230
"Bildt","A2.9-5932","Sweden","SWD",380
"Carlsson","A2.9-5935","Sweden","SWD",380
"Persson","A2.9-5938","Sweden","SWD",380
"Reinfeldt","A3.0-113","Sweden","SWD",380
"Lofven","cb-380-1","Sweden","SWD",380
