date_issue,issue_starting_row,issue_ending_row
1998-08-15,27182,27322
1998-08-29,27322,27391
1998-09-05,27391,27457
1998-09-12,27457,27548
1998-09-19,27548,27630
1998-09-26,27630,27698
1998-10-03,27698,27785
1998-10-10,27785,27860
1998-10-17,27860,27950
1998-10-24,27950,28026
1998-10-31,28026,28102
1998-11-07,28102,28180
1998-11-14,28180,28272
1998-11-21,28272,28355
1998-11-28,28355,28427
1998-12-05,28427,28507
1998-12-12,28507,28594
1999-01-09,28594,28668
1999-01-16,28668,28737
1999-01-23,28737,28818
1999-01-30,28818,28900
1999-02-06,28900,28984
1999-02-13,28984,29082
1999-02-20,29082,29158
1999-02-27,29158,29229
1999-03-06,29229,29393
1999-03-20,29393,29480
1999-03-27,29480,29562
1999-04-03,29562,29637
1999-04-10,29637,29725
1999-04-17,29725,29805
1999-04-24,29805,29887
1999-05-01,29887,29959
1999-05-08,29959,30037
1999-05-15,30037,30129
1999-05-22,30129,30215
1999-05-29,30215,30290
1999-06-05,30290,30363
1999-06-12,30363,30434
1999-06-19,30434,30515
1999-06-26,30515,30601
1999-07-03,30601,30667
1999-07-10,30667,30745
1999-07-17,30745,30833
1999-07-24,30833,30904
1999-07-31,30904,30983
1999-08-07,30983,31053
1999-08-14,31053,31113
1999-08-21,31113,31178
1999-08-28,31178,31244
1999-09-04,31244,31323
1999-09-11,31323,31407
1999-09-18,31407,31502
1999-09-25,31502,31586
1999-10-02,31586,31667
1999-10-09,31667,31865
1999-10-23,31865,31956
1999-10-30,31956,32034
1999-11-06,32034,32125
1999-11-13,32125,32210
1999-11-20,32210,32296
1999-11-27,32296,32381
1999-12-04,32381,32480
1999-12-11,32480,32559
1999-12-18,32559,32737
1999-12-31,32737,32799
2000-01-15,32799,32954
2000-01-22,32954,33030
2000-02-05,33030,33104
2000-02-12,33104,33190
2000-02-19,33190,33287
2000-02-26,33287,33365
2000-03-04,33365,33446
2000-03-11,33446,33516
2000-03-18,33516,33607
2000-03-25,33607,33691
2000-04-01,33691,33855
2000-04-08,33855,33955
2000-04-15,33955,34037
2000-04-29,34037,34123
2000-05-06,34123,34217
2000-05-13,34217,34417
2000-05-27,34417,34500
2000-06-03,34500,34582
2000-06-10,34582,34666
2000-06-17,34666,34766
2000-06-24,34766,34937
2000-07-08,34937,35025
2000-07-15,35025,35117
2000-07-22,35117,35203
2000-07-29,35203,35283
2000-08-05,35283,35367
2000-08-12,35367,35451
2000-08-19,35451,35528
2000-08-26,35528,35608
2000-09-02,35608,35692
2000-09-09,35692,35785
2000-09-16,35785,35870
2000-09-23,35870,35965
2000-09-30,35965,36065
2000-10-07,36065,36165
2000-10-14,36165,36250
2000-10-21,36250,36337
2000-10-28,36337,36433
2000-11-04,36433,36623
2000-11-18,36623,36712
2000-11-25,36712,36810
2000-12-02,36810,36903
2000-12-09,36903,37003
2000-12-16,37003,37093
2001-01-06,37093,37172
2001-01-13,37172,37260
2001-01-20,37260,37347
2001-01-27,37347,37444
2001-02-03,37444,37537
2001-02-10,37537,37636
2001-02-17,37636,37727
2001-02-24,37727,37827
2001-03-03,37827,37919
2001-03-10,37919,38019
2001-03-17,38019,38112
2001-03-24,38112,38212
2001-03-31,38212,38310
2001-04-07,38310,38410
2001-04-14,38410,38510
2001-04-21,38510,38609
2001-04-28,38609,38701
2001-05-05,38701,38801
2001-05-12,38801,38901
2001-05-19,38901,38992
2001-05-26,38992,39078
2001-06-02,39078,39176
2001-06-09,39176,39258
2001-06-16,39258,39357
2001-06-23,39357,39457
2001-06-30,39457,39637
2001-07-14,39637,39720
2001-07-21,39720,39792
2001-07-28,39792,39886
2001-08-04,39886,39951
2001-08-11,39951,40024
2001-08-18,40024,40094
2001-08-25,40094,40164
2001-09-01,40164,40242
2001-09-08,40242,40322
2001-09-15,40322,40397
2001-09-22,40397,40442
2001-09-29,40442,40493
2001-10-06,40493,40536
2001-10-13,40536,40596
2001-10-20,40596,40645
2001-10-27,40645,40731
2001-11-03,40731,40808
2001-11-10,40808,40896
2001-11-17,40896,40975
2001-11-24,40975,41050
2001-12-01,41050,41120
2001-12-08,41120,41244
2001-12-22,41244,41304
2002-01-05,41304,41362
2002-01-12,41362,41431
2002-01-19,41431,41498
2002-01-26,41498,41566
2002-02-02,41566,41643
2002-02-09,41643,41713
2002-02-16,41713,41795
2002-02-23,41795,41865
2002-03-02,41865,41948
2002-03-09,41948,42031
2002-03-16,42031,42108
2002-03-23,42108,42190
2002-03-30,42190,42264
2002-04-06,42264,42344
2002-04-13,42344,42426
2002-04-20,42426,42515
2002-04-27,42515,42561
2002-05-04,42561,42638
2002-05-11,42638,42710
2002-05-18,42710,42795
2002-05-25,42795,42862
2002-06-01,42862,42947
2002-06-08,42947,43018
2002-06-15,43018,43102
2002-06-22,43102,43179
2002-06-29,43179,43266
2002-07-06,43266,43347
2002-07-13,43347,43520
2002-07-27,43520,43600
2002-08-03,43600,43681
2002-08-10,43681,43761
2002-08-17,43761,43840
2002-08-24,43840,43913
2002-08-31,43913,43981
2002-09-07,43981,44057
2002-09-14,44057,44250
2002-09-28,44250,44440
2002-10-12,44440,44528
2002-10-19,44528,44613
2002-10-26,44613,44795
2002-11-09,44795,44874
2002-11-16,44874,44974
2002-11-23,44974,45061
2002-11-30,45061,45153
2002-12-07,45153,45342
2002-12-14,45342,45429
2003-01-04,45429,45503
2003-01-11,45503,45587
2003-01-18,45587,45680
2003-01-25,45680,45780
2003-02-01,45780,45870
2003-02-08,45870,45965
2003-02-15,45965,46053
2003-02-22,46053,46144
2003-03-01,46144,46231
2003-03-08,46231,46314
2003-03-15,46314,46414
2003-03-22,46414,46509
2003-03-29,46509,46607
2003-04-05,46607,46703
2003-04-12,46703,46789
2003-04-19,46789,46888
2003-04-26,46888,46970
2003-05-03,46970,47068
2003-05-10,47068,47163
2003-05-17,47163,47257
2003-05-24,47257,47352
2003-05-31,47352,47448
2003-06-07,47448,47537
2003-06-14,47537,47633
2003-06-21,47633,47733
2003-06-28,47733,47830
2003-07-05,47830,47924
2003-07-12,47924,48112
2003-07-26,48112,48204
2003-08-02,48204,48276
2003-08-09,48276,48352
2003-08-16,48352,48418
2003-08-23,48418,48498
2003-08-30,48498,48581
2003-09-06,48581,48681
2003-09-13,48681,48772
2003-09-20,48772,48859
2003-09-27,48859,48911
2003-10-04,48911,49003
2003-10-11,49003,49093
2003-10-18,49093,49154
2003-10-25,49154,49237
2003-11-01,49237,49317
2003-11-08,49317,49408
2003-11-15,49408,49577
2003-11-29,49577,49666
2003-12-06,49666,49748
2003-12-13,49748,49832
2003-12-20,49832,49924
2004-01-03,49924,49987
2004-01-10,49987,50072
2004-01-17,50072,50172
2004-01-24,50172,50269
2004-01-31,50269,50358
2004-02-07,50358,50435
2004-02-14,50435,50532
2004-02-21,50532,50617
2004-02-28,50617,50704
2004-03-06,50704,50804
2004-03-13,50804,50904
2004-03-20,50904,51001
2004-03-27,51001,51093
2004-04-03,51093,51185
2004-04-10,51185,51270
2004-04-17,51270,51453
2004-05-01,51453,51536
2004-05-08,51536,51622
2004-05-15,51622,51703
2004-05-22,51703,51867
2004-05-29,51867,51953
2004-06-12,51953,52041
2004-06-19,52041,52199
2004-07-03,52199,52281
2004-07-10,52281,52365
2004-07-17,52365,52461
2004-07-24,52461,52545
2004-07-31,52545,52627
2004-08-07,52627,52711
2004-08-14,52711,52797
2004-08-21,52797,52879
2004-08-28,52879,52964
2004-09-04,52964,53053
2004-09-11,53053,53114
2004-09-18,53114,53178
2004-09-25,53178,53245
2004-10-02,53245,53307
2004-10-09,53307,53407
2004-10-16,53407,53503
2004-10-23,53503,53591
2004-10-30,53591,53780
2004-11-13,53780,53965
2004-11-20,53965,54054
2004-12-04,54054,54154
2004-12-11,54154,54242
2004-12-18,54242,54376
2005-01-08,54376,54534
2005-01-22,54534,54621
2005-01-29,54621,54697
2005-02-05,54697,54772
2005-02-12,54772,54857
2005-02-19,54857,54946
2005-02-26,54946,55038
2005-03-05,55038,55133
2005-03-12,55133,55233
2005-03-19,55233,55330
2005-03-26,55330,55420
2005-04-02,55420,55510
2005-04-09,55510,55609
2005-04-16,55609,55700
2005-04-23,55700,55782
2005-04-30,55782,55877
2005-05-07,55877,55965
2005-05-14,55965,56045
2005-05-21,56045,56137
2005-05-28,56137,56221
2005-06-04,56221,56303
2005-06-11,56303,56403
2005-06-18,56403,56495
2005-06-25,56495,56677
2005-07-02,56677,56766
2005-07-09,56766,56866
2005-07-16,56866,56954
2005-07-30,56954,57036
2005-08-06,57036,57121
2005-08-13,57121,57204
2005-08-20,57204,57288
2005-08-27,57288,57368
2005-09-03,57368,57447
2005-09-10,57447,57536
2005-09-17,57536,57636
2005-09-24,57636,57733
2005-10-01,57733,57817
2005-10-08,57817,57912
2005-10-15,57912,57996
2005-10-22,57996,58087
2005-10-29,58087,58173
2005-11-05,58173,58268
2005-11-12,58268,58361
2005-11-19,58361,58448
2005-11-26,58448,58543
2005-12-03,58543,58633
2005-12-10,58633,58729
2005-12-17,58729,58815
2005-12-24,58815,58903
2006-01-07,58903,58992
2006-01-14,58992,59077
2006-01-21,59077,59172
2006-01-28,59172,59261
2006-02-04,59261,59344
2006-02-11,59344,59437
2006-02-18,59437,59523
2006-02-25,59523,59618
2006-03-04,59618,59703
2006-03-11,59703,59895
2006-03-25,59895,59987
2006-04-01,59987,60069
2006-04-08,60069,60164
2006-04-15,60164,60343
2006-04-29,60343,60426
2006-05-06,60426,60511
2006-05-13,60511,60605
2006-05-20,60605,60702
2006-05-27,60702,60788
2006-06-03,60788,60882
2006-06-10,60882,60982
2006-06-17,60982,61075
2006-06-24,61075,61159
2006-07-01,61159,61246
2006-07-08,61246,61337
2006-07-15,61337,61421
2006-07-22,61421,61508
2006-07-29,61508,61588
2006-08-05,61588,61669
2006-08-12,61669,61747
2006-08-19,61747,61830
2006-08-26,61830,61910
2006-09-02,61910,62084
2006-09-16,62084,62278
2006-09-30,62278,62359
2006-10-07,62359,62456
2006-10-14,62456,62546
2006-10-21,62546,62629
2006-10-28,62629,62800
2006-11-11,62800,62892
2006-11-18,62892,62992
2006-11-25,62992,63086
2006-12-02,63086,63280
2006-12-16,63280,63371
2006-12-23,63371,63469
2007-01-06,63469,63534
2007-01-13,63534,63613
2007-01-20,63613,63711
2007-01-27,63711,63804
2007-02-03,63804,63904
2007-02-10,63904,63998
2007-02-17,63998,64181
2007-03-03,64181,64372
2007-03-17,64372,64466
2007-03-24,64466,64554
2007-03-31,64554,64654
2007-04-07,64654,64748
2007-04-14,64748,64848
2007-04-21,64848,64941
2007-04-28,64941,65041
2007-05-05,65041,65141
2007-05-12,65141,65231
2007-05-19,65231,65331
2007-05-26,65331,65423
2007-06-02,65423,65523
2007-06-09,65523,65622
2007-06-16,65622,65722
2007-06-23,65722,65819
2007-06-30,65819,65919
2007-07-07,65919,66009
2007-07-14,66009,66099
2007-07-21,66099,66291
2007-07-28,66291,66384
2007-08-04,66384,66469
2007-08-18,66469,66557
2007-08-25,66557,66645
2007-09-01,66645,66729
2007-09-08,66729,66829
2007-09-15,66829,66929
2007-09-22,66929,67105
2007-10-06,67105,67195
2007-10-13,67195,67290
2007-10-20,67290,67390
2007-11-03,67390,67490
2007-11-10,67490,67589
2007-11-17,67589,67685
2007-11-24,67685,67785
2007-12-01,67785,67885
2007-12-08,67885,67985
2007-12-15,67985,68075
2007-12-22,68075,68165
2008-01-05,68165,68247
2008-01-12,68247,68337
2008-01-19,68337,68437
2008-01-26,68437,68532
2008-02-02,68532,68629
2008-02-09,68629,68727
2008-02-16,68727,68827
2008-02-23,68827,68917
2008-03-01,68917,69017
2008-03-08,69017,69117
2008-03-15,69117,69217
2008-03-22,69217,69300
2008-03-29,69300,69397
2008-04-05,69397,69495
2008-04-12,69495,69677
2008-04-26,69677,69772
2008-05-03,69772,69858
2008-05-10,69858,69941
2008-05-17,69941,70037
2008-05-24,70037,70126
2008-05-31,70126,70213
2008-06-07,70213,70293
2008-06-14,70293,70372
2008-06-21,70372,70466
2008-06-28,70466,70545
2008-07-05,70545,70710
2008-07-19,70710,70799
2008-07-26,70799,70884
2008-08-02,70884,70982
2008-08-09,70982,71063
2008-08-16,71063,71147
2008-08-23,71147,71230
2008-08-30,71230,71309
2008-09-06,71309,71409
2008-09-13,71409,71491
2008-09-20,71491,71582
2008-09-27,71582,71678
2008-10-04,71678,71775
2008-10-11,71775,71866
2008-10-18,71866,71947
2008-10-25,71947,72040
2008-11-01,72040,72125
2008-11-08,72125,72219
2008-11-15,72219,72311
2008-11-22,72311,72399
2008-11-29,72399,72580
2008-12-13,72580,72672
2008-12-20,72672,72830
2009-01-10,72830,72910
2009-01-17,72910,72991
2009-01-24,72991,73083
2009-01-31,73083,73164
2009-02-07,73164,73249
2009-02-14,73249,73339
2009-02-21,73339,73422
2009-02-28,73422,73519
2009-03-07,73519,73619
2009-03-14,73619,73717
2009-03-21,73717,73799
2009-03-28,73799,73887
2009-04-04,73887,73983
2009-04-11,73983,74066
2009-04-18,74066,74155
2009-04-25,74155,74239
2009-05-02,74239,74322
2009-05-09,74322,74408
2009-05-16,74408,74501
2009-05-23,74501,74674
2009-06-06,74674,74774
2009-06-13,74774,74870
2009-06-20,74870,74954
2009-06-27,74954,75050
2009-07-04,75050,75135
2009-07-11,75135,75227
2009-07-18,75227,75308
2009-07-25,75308,75402
2009-08-01,75402,75482
2009-08-08,75482,75561
2009-08-15,75561,75643
2009-08-22,75643,75805
2009-09-05,75805,75905
2009-09-12,75905,76004
2009-09-19,76004,76087
2009-09-26,76087,76179
2009-10-03,76179,76275
2009-10-10,76275,76364
2009-10-17,76364,76452
2009-10-24,76452,76549
2009-10-31,76549,76723
2009-11-14,76723,76823
2009-11-21,76823,76911
2009-11-28,76911,77007
2009-12-05,77007,77098
2009-12-12,77098,77280
2010-01-02,77280,77342
2010-01-09,77342,77429
2010-01-16,77429,77509
2010-01-23,77509,77591
2010-01-30,77591,77684
2010-02-06,77684,77853
2010-02-20,77853,77941
2010-02-27,77941,78041
2010-03-06,78041,78138
2010-03-13,78138,78237
2010-03-20,78237,78322
2010-03-27,78322,78404
2010-04-03,78404,78502
2010-04-10,78502,78601
2010-04-17,78601,78695
2010-04-24,78695,78779
2010-05-01,78779,78955
2010-05-15,78955,79054
2010-05-22,79054,79154
2010-05-29,79154,79239
2010-06-05,79239,79431
2010-06-19,79431,79615
2010-07-03,79615,79793
2010-07-10,79793,79888
2010-07-24,79888,79967
2010-07-31,79967,80048
2010-08-07,80048,80124
2010-08-14,80124,80205
2010-08-21,80205,80282
2010-08-28,80282,80363
2010-09-04,80363,80458
2010-09-11,80458,80553
2010-09-18,80553,80734
2010-09-25,80734,80820
2010-10-09,80820,80916
2010-10-16,80916,81004
2010-10-23,81004,81102
2010-10-30,81102,81187
2010-11-06,81187,81279
2010-11-13,81279,81364
2010-11-20,81364,81464
2010-11-27,81464,81550
2010-12-04,81550,81637
2010-12-11,81637,81737
2010-12-18,81737,81821
2011-01-01,81821,81886
2011-01-08,81886,81973
2011-01-15,81973,82059
2011-01-22,82059,82159
2011-01-29,82159,82245
2011-02-05,82245,82329
2011-02-12,82329,82419
2011-02-19,82419,82499
2011-02-26,82499,82692
2011-03-05,82692,82792
2011-03-19,82792,82881
2011-03-26,82881,82961
2011-04-02,82961,83042
2011-04-09,83042,83137
2011-04-16,83137,83221
2011-04-23,83221,83312
2011-04-30,83312,83394
2011-05-07,83394,83481
2011-05-14,83481,83578
2011-05-21,83578,83663
2011-05-28,83663,83758
2011-06-04,83758,83858
2011-06-11,83858,83947
2011-06-18,83947,84033
2011-06-25,84033,84125
2011-07-02,84125,84206
2011-07-09,84206,84298
2011-07-16,84298,84376
2011-07-23,84376,84454
2011-07-30,84454,84537
2011-08-06,84537,84614
2011-08-13,84614,84694
2011-08-20,84694,84772
2011-08-27,84772,84851
2011-09-03,84851,84945
2011-09-10,84945,85039
2011-09-17,85039,85225
2011-10-01,85225,85309
2011-10-08,85309,85399
2011-10-15,85399,85480
2011-10-22,85480,85568
2011-10-29,85568,85650
2011-11-05,85650,85731
2011-11-12,85731,85824
2011-11-19,85824,85907
2011-11-26,85907,85993
2011-12-03,85993,86090
2011-12-10,86090,86173
2011-12-17,86173,86243
2011-12-29,86243,86244
2011-12-31,86244,86305
2012-01-07,86305,86389
2012-01-14,86389,86468
2012-01-21,86468,86561
2012-01-28,86561,86642
2012-02-04,86642,86720
2012-02-11,86720,86809
2012-02-18,86809,86886
2012-02-25,86886,86979
2012-03-03,86979,87080
2012-03-10,87080,87248
2012-03-24,87248,87417
2012-04-07,87417,87493
2012-04-14,87493,87571
2012-04-21,87571,87659
2012-04-28,87659,87743
2012-05-05,87743,87825
2012-05-12,87825,87907
2012-05-19,87907,87997
2012-05-26,87997,88089
2012-06-02,88089,88189
2012-06-09,88189,88268
2012-06-16,88268,88362
2012-06-23,88362,88446
2012-06-30,88446,88628
2012-07-07,88628,88712
2012-07-21,88712,88790
2012-07-28,88790,88871
2012-08-04,88871,88942
2012-08-11,88942,89022
2012-08-18,89022,89097
2012-08-25,89097,89267
2012-09-01,89267,89343
2012-09-15,89343,89427
2012-09-22,89427,89507
2012-09-29,89507,89604
2012-10-06,89604,89697
2012-10-13,89697,89787
2012-10-20,89787,89871
2012-10-27,89871,90049
2012-11-10,90049,90133
2012-11-17,90133,90218
2012-11-24,90218,90307
2012-12-01,90307,90406
2012-12-08,90406,90483
2012-12-15,90483,90572
2012-12-22,90572,90711
2013-01-12,90711,90791
2013-01-19,90791,90963
2013-02-02,90963,91057
2013-02-09,91057,91141
2013-02-16,91141,91232
2013-02-23,91232,91313
2013-03-02,91313,91402
2013-03-09,91402,91497
2013-03-16,91497,91585
2013-03-23,91585,91666
2013-03-30,91666,91740
2013-04-06,91740,91831
2013-04-13,91831,91918
2013-04-20,91918,92008
2013-04-27,92008,92093
2013-05-04,92093,92169
2013-05-11,92169,92258
2013-05-18,92258,92343
2013-05-25,92343,92429
2013-06-01,92429,92520
2013-06-08,92520,92600
2013-06-15,92600,92691
2013-06-22,92691,92772
2013-06-29,92772,92855
2013-07-06,92855,92936
2013-07-13,92936,93021
2013-07-20,93021,93099
2013-07-27,93099,93182
2013-08-03,93182,93259
2013-08-10,93259,93336
2013-08-17,93336,93499
2013-08-31,93499,93578
2013-09-07,93578,93665
2013-09-14,93665,93757
2013-09-21,93757,93839
2013-09-28,93839,93929
2013-10-05,93929,94011
2013-10-12,94011,94101
2013-10-19,94101,94185
2013-10-26,94185,94278
2013-11-02,94278,94452
2013-11-16,94452,94531
2013-11-23,94531,94622
2013-11-30,94622,94721
2013-12-07,94721,94802
2013-12-14,94802,94883
2013-12-21,94883,94961
2014-01-04,94961,95028
2014-01-11,95028,95204
2014-01-25,95204,95287
2014-02-01,95287,95374
2014-02-08,95374,95459
2014-02-15,95459,95538
2014-02-22,95538,95629
2014-03-01,95629,95721
2014-03-08,95721,95813
2014-03-15,95813,95891
2014-03-22,95891,96058
2014-04-05,96058,96142
2014-04-12,96142,96228
2014-04-19,96228,96324
2014-04-26,96324,96406
2014-05-03,96406,96579
2014-05-17,96579,96670
2014-05-24,96670,96849
2014-06-05,96849,96944
2014-06-14,96944,97026
2014-06-21,97026,97107
2014-06-28,97107,97193
2014-07-05,97193,97272
2014-07-12,97272,97352
2014-07-19,97352,97438
2014-07-26,97438,97511
2014-08-02,97511,97586
2014-08-09,97586,97742
2014-08-23,97742,97826
2014-08-30,97826,97900
2014-09-06,97900,97984
2014-09-13,97984,98073
2014-09-20,98073,98162
2014-09-27,98162,98243
2014-10-04,98243,98332
2014-10-11,98332,98415
2014-10-18,98415,98492
2014-10-25,98492,98571
2014-11-01,98571,98658
2014-11-08,98658,98742
2014-11-15,98742,98841
2014-11-22,98841,98929
2014-11-29,98929,99010
2014-12-06,99010,99105
2014-12-13,99105,99198
2014-12-20,99198,99278
2015-01-03,99278,99341
2015-01-10,99341,99511
2015-01-24,99511,99595
2015-01-31,99595,99766
2015-02-14,99766,99846
2015-02-21,99846,99927
2015-02-28,99927,100012
2015-03-07,100012,100102
2015-03-14,100102,100197
2015-03-21,100197,100277
2015-03-28,100277,100371
2015-04-04,100371,100449
2015-04-11,100449,100541
2015-04-18,100541,100632
